TPLsp_append,OrganismType,SpeciesAuthor,Kingdom,Phylum,Class,Order,Family,SpeciesAccepted,Taxonomic.status,TPLsp
Polygonella robusta,Herbaceous perennial,Polygonella_robusta,Plantae,Magnoliophyta,Magnoliopsida,Caryophyllales,Polygonaceae,Polygonella robusta,Accepted,Polygonella robusta
Persicaria vivipara,Herbaceous perennial,Polygonum_viviparum,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Polygonaceae,Persicaria vivipara,Accepted,Persicaria vivipara
Potentilla anserina,Herbaceous perennial,Potentilla_anserina,Plantae,Magnoliophyta,Magnoliopsida,Rosales,Rosaceae,Potentilla anserina,Accepted,Potentilla anserina
Potentilla recta,Herbaceous perennial,Potentilla_recta,Plantae,Magnoliophyta,Magnoliopsida,Rosales,Rosaceae,Potentilla recta,Accepted,Potentilla recta
Potentilla recta,Herbaceous perennial,Potentilla_recta_2,Plantae,Magnoliophyta,Magnoliopsida,Rosales,Rosaceae,Potentilla recta,Accepted,Potentilla recta
Primula elatior,Herbaceous perennial,Primula_elatior,Plantae,Magnoliophyta,Magnoliopsida,Ericales,Primulaceae,Primula elatior,Accepted,Primula elatior
Primula farinosa,Herbaceous perennial,Primula_farinosa,Plantae,Magnoliophyta,Magnoliopsida,Ericales,Primulaceae,Primula farinosa,Accepted,Primula farinosa
Primula farinosa,Herbaceous perennial,Primula_farinosa_2,Plantae,Magnoliophyta,Magnoliopsida,Ericales,Primulaceae,Primula farinosa,Accepted,Primula farinosa
Primula farinosa,Herbaceous perennial,Primula_farinosa_3,Plantae,Magnoliophyta,Magnoliopsida,Ericales,Primulaceae,Primula farinosa,Accepted,Primula farinosa
Primula farinosa,Herbaceous perennial,Primula_farinosa_4,Plantae,Tracheophyta,Magnoliopsida,Ericales,Primulaceae,Primula farinosa,Accepted,Primula farinosa
Primula nutans,Herbaceous perennial,Primula_nutans,Plantae,Magnoliophyta,Magnoliopsida,Ericales,Primulaceae,Primula nutans,Accepted,Primula nutans
Primula veris,Herbaceous perennial,Primula_veris,Plantae,Magnoliophyta,Magnoliopsida,Ericales,Primulaceae,Primula veris,Accepted,Primula veris
Primula veris,Herbaceous perennial,Primula_veris_2,Plantae,Magnoliophyta,Magnoliopsida,Ericales,Primulaceae,Primula veris,Accepted,Primula veris
Primula veris,Herbaceous perennial,Primula_veris_3,Plantae,Magnoliophyta,Magnoliopsida,Ericales,Primulaceae,Primula veris,Accepted,Primula veris
Primula veris,Herbaceous perennial,Primula_veris_4,Plantae,Magnoliophyta,Magnoliopsida,Ericales,Primulaceae,Primula veris,Accepted,Primula veris
Primula veris,Herbaceous perennial,Primula_veris_5,Plantae,Magnoliophyta,Magnoliopsida,Ericales,Primulaceae,Primula veris,Accepted,Primula veris
Primula vulgaris,Herbaceous perennial,Primula_vulgaris,Plantae,Magnoliophyta,Magnoliopsida,Ericales,Primulaceae,Primula vulgaris,Accepted,Primula vulgaris
Primula vulgaris,Herbaceous perennial,Primula_vulgaris_2,Plantae,Magnoliophyta,Magnoliopsida,Ericales,Primulaceae,Primula vulgaris,Accepted,Primula vulgaris
Primula vulgaris,Herbaceous perennial,Primula_vulgaris_3,Plantae,Magnoliophyta,Magnoliopsida,Ericales,Primulaceae,Primula vulgaris,Accepted,Primula vulgaris
Prosartes lanuginosa,Herbaceous perennial,Prosartes_lanuginosa,Plantae,Magnoliophyta,Liliopsida,Liliales,Liliaceae,Prosartes lanuginosa,Accepted,Prosartes lanuginosa
Pseudomisopates rivas-martinezii,Herbaceous perennial,Pseudomisopates_rivas-martinezii,Plantae,Magnoliophyta,Magnoliopsida,Malpighiales,Scrophulariaceae,Pseudomisopates rivas-martinezii,Unresolved,Pseudomisopates rivas-martinezii
Psoralea tenuiflora,Herbaceous perennial,Psoralea_tenuiflora,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Leguminosae,Psoralea tenuiflora,Accepted,Psoralea tenuiflora
Psoralea tenuiflora,Herbaceous perennial,Psoralea_tenuiflora_2,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Leguminosae,Psoralea tenuiflora,Accepted,Psoralea tenuiflora
Pyrrocoma radiata,Herbaceous perennial,Pyrrocoma_radiata,Plantae,Magnoliophyta,Magnoliopsida,Ericales,Compositae,Pyrrocoma radiata,Accepted,Pyrrocoma radiata
Pyxidanthera brevifolia,Herbaceous perennial,Pyxidanthera_brevifolia,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Diapensiaceae,Pyxidanthera brevifolia,Accepted,Pyxidanthera brevifolia
Ramonda myconi,Herbaceous perennial,Ramonda_myconi,Plantae,Magnoliophyta,Magnoliopsida,Lamiales,Gesneriaceae,Ramonda myconi,Accepted,Ramonda myconi
Ranunculus acris,Herbaceous perennial,Ranunculus_acris,Plantae,Magnoliophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Ranunculus acris,Accepted,Ranunculus acris
Ranunculus acris,Herbaceous perennial,Ranunculus_acris_subsp._acris,Plantae,Magnoliophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Ranunculus acris,Accepted,Ranunculus acris
Ranunculus bulbosus,Herbaceous perennial,Ranunculus_bulbosus,Plantae,Magnoliophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Ranunculus bulbosus,Accepted,Ranunculus bulbosus
Ranunculus bulbosus,Herbaceous perennial,Ranunculus_bulbosus_2,Plantae,Magnoliophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Ranunculus bulbosus,Accepted,Ranunculus bulbosus
Ranunculus peltatus,Herbaceous perennial,Ranunculus_peltatus,Plantae,Magnoliophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Ranunculus peltatus,Accepted,Ranunculus peltatus
Ranunculus repens,Herbaceous perennial,Ranunculus_repens,Plantae,Magnoliophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Ranunculus repens,Accepted,Ranunculus repens
Raphanus raphanistrum,Herbaceous perennial,Raphanus_raphanistrum,Plantae,Magnoliophyta,Magnoliopsida,Capparales,Brassicaceae,Raphanus raphanistrum,Accepted,Raphanus raphanistrum
Raphanus raphanistrum,Herbaceous perennial,Raphanus_raphanistrum_2,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Raphanus raphanistrum,Accepted,Raphanus raphanistrum
NDY NA,Herbaceous perennial,Raphanus_sativus_x_Raphanus_raphanistrum,NDY,NDY,NDY,NDY,NDY,NDY,,NDY NA
Ratibida columnifera,Herbaceous perennial,Ratibida_columnifera,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Compositae,Ratibida columnifera,Accepted,Ratibida columnifera
Rheum acuminatum,Herbaceous perennial,Rheum_acuminatum,Plantae,Magnoliophyta,Magnoliopsida,Caryophyllales,Polygonaceae,Rheum acuminatum,Accepted,Rheum acuminatum
Rheum australe,Herbaceous perennial,Rheum_australe,Plantae,Magnoliophyta,Magnoliopsida,Caryophyllales,Polygonaceae,Rheum australe,Accepted,Rheum australe
Rorippa palustris,Herbaceous perennial,Rorippa_palustris,Plantae,Magnoliophyta,Rosids,Brassicales,Brassicaceae,Rorippa palustris,Accepted,Rorippa palustris
Rubus praecox,Herbaceous perennial,Rubus_discolor,Plantae,Magnoliophyta,Magnoliopsida,Rosales,Rosaceae,Rubus praecox,Accepted,Rubus praecox
Rubus saxatilis,Herbaceous perennial,Rubus_saxatilis,Plantae,Magnoliophyta,Magnoliopsida,Rosales,Rosaceae,Rubus saxatilis,Accepted,Rubus saxatilis
Rubus ursinus,Herbaceous perennial,Rubus_ursinus,Plantae,Magnoliophyta,Magnoliopsida,Rosales,Rosaceae,Rubus ursinus,Accepted,Rubus ursinus
Rumex obtusifolius,Herbaceous perennial,Rumex_obtusifolius,Plantae,Magnoliophyta,Magnoliopsida,Caryophyllales,Polygonaceae,Rumex obtusifolius,Accepted,Rumex obtusifolius
Rumex rupestris,Herbaceous perennial,Rumex_rupestris,Plantae,Magnoliophyta,Magnoliopsida,Caryophyllales,Polygonaceae,Rumex rupestris,Accepted,Rumex rupestris
Ruppia maritima,Herbaceous perennial,Ruppia_maritima,Plantae,Magnoliophyta,Liliopsida,Alismatales,Ruppiaceae,Ruppia maritima,Accepted,Ruppia maritima
Salvia pratensis,Herbaceous perennial,Salvia_pratensis,Plantae,Magnoliophyta,Magnoliopsida,Lamiales,Lamiaceae,Salvia pratensis,Accepted,Salvia pratensis
Sanicula europaea,Herbaceous perennial,Sanicula_europaea,Plantae,Magnoliophyta,Magnoliopsida,Apiales,Apiaceae,Sanicula europaea,Accepted,Sanicula europaea
Santolina melidensis,Herbaceous perennial,Santolina_melidensis,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Compositae,Santolina melidensis,Accepted,Santolina melidensis
Saponaria bellidifolia,Herbaceous perennial,Saponaria_bellidifolia,Plantae,Magnoliophyta,Magnoliopsida,Caryophyllales,Caryophyllaceae,Saponaria bellidifolia,Accepted,Saponaria bellidifolia
Sarcocapnos baetica,Herbaceous perennial,Sarcocapnos_baetica,Plantae,Magnoliophyta,Magnoliopsida,Ranunculales,Papaveraceae,Sarcocapnos baetica,Unresolved,Sarcocapnos baetica
Sarcocapnos enneaphylla,Herbaceous perennial,Sarcocapnos_enneaphylla,Plantae,Magnoliophyta,Magnoliopsida,Ranunculales,Papaveraceae,Sarcocapnos enneaphylla,Unresolved,Sarcocapnos enneaphylla
Sarcocapnos pulcherrima,Herbaceous perennial,Sarcocapnos_pulcherrima,Plantae,Magnoliophyta,Magnoliopsida,Ranunculales,Papaveraceae,Sarcocapnos pulcherrima,Unresolved,Sarcocapnos pulcherrima
Sarracenia alata,Herbaceous perennial,Sarracenia_alata,Plantae,Magnoliophyta,Magnoliopsida,Ericales,Sarraceniaceae,Sarracenia alata,Accepted,Sarracenia alata
Sarracenia purpurea,Herbaceous perennial,Sarracenia_purpurea,Plantae,Magnoliophyta,Magnoliopsida,Ericales,Sarraceniaceae,Sarracenia purpurea,Accepted,Sarracenia purpurea
Sarracenia purpurea,Herbaceous perennial,Sarracenia_purpurea_2,Plantae,Magnoliophyta,Magnoliopsida,Ericales,Sarraceniaceae,Sarracenia purpurea,Accepted,Sarracenia purpurea
Saussurea laniceps,Herbaceous perennial,Saussurea_laniceps,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Compositae,Saussurea laniceps,Accepted,Saussurea laniceps
Saussurea medusa,Herbaceous perennial,Saussurea_medusa,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Compositae,Saussurea medusa,Accepted,Saussurea medusa
Saxifraga aizoides,Herbaceous perennial,Saxifraga_aizoides,Plantae,Magnoliophyta,Magnoliopsida,Saxifragales,Saxifragaceae,Saxifraga aizoides,Accepted,Saxifraga aizoides
Saxifraga cotyledon,Herbaceous perennial,Saxifraga_cotyledon,Plantae,Magnoliophyta,Magnoliopsida,Saxifragales,Saxifragaceae,Saxifraga cotyledon,Accepted,Saxifraga cotyledon
Scabiosa columbaria,Herbaceous perennial,Scabiosa_columbaria,Plantae,Magnoliophyta,Magnoliopsida,Dipsacales,Caprifoliaceae,Scabiosa columbaria,Accepted,Scabiosa columbaria
Scorzonera hispanica,Herbaceous perennial,Scorzonera_hispanica,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Compositae,Scorzonera hispanica,Accepted,Scorzonera hispanica
Scorzonera humilis,Herbaceous perennial,Scorzonera_humilis,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Compositae,Scorzonera humilis,Accepted,Scorzonera humilis
Senecio integrifolius,Herbaceous perennial,Senecio_integrifolius,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Compositae,Senecio integrifolius,Accepted,Senecio integrifolius
Jacobaea vulgaris,Herbaceous perennial,Senecio_jacobaea,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Compositae,Jacobaea vulgaris,Accepted,Jacobaea vulgaris
Jacobaea vulgaris,Herbaceous perennial,Senecio_jacobaea_2,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Compositae,Jacobaea vulgaris,Accepted,Jacobaea vulgaris
Setaria incrassata,Herbaceous perennial,Setaria_incrassata,Plantae,Magnoliophyta,Liliopsida,Poales,Poaceae,Setaria incrassata,Accepted,Setaria incrassata
Setaria incrassata,Herbaceous perennial,Setaria_incrassata_2,Plantae,Magnoliophyta,Liliopsida,Poales,Poaceae,Setaria incrassata,Accepted,Setaria incrassata
Silene acaulis,Herbaceous perennial,Silene_acaulis,Plantae,Magnoliophyta,Magnoliopsida,Caryophyllales,Caryophyllaceae,Silene acaulis,Accepted,Silene acaulis
Silene acaulis,Herbaceous perennial,Silene_acaulis_2,Plantae,Magnoliophyta,Magnoliopsida,Caryophyllales,Caryophyllaceae,Silene acaulis,Accepted,Silene acaulis
Silene acaulis,Herbaceous perennial,Silene_acaulis_3,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Caryophyllaceae,Silene acaulis,Accepted,Silene acaulis
Silene douglasii,Herbaceous perennial,Silene_douglasii_var._oraria,Plantae,Magnoliophyta,Magnoliopsida,Caryophyllales,Caryophyllaceae,Silene douglasii oraria,Accepted,Silene douglasii
Silene regia,Herbaceous perennial,Silene_regia,Plantae,Magnoliophyta,Magnoliopsida,Caryophyllales,Caryophyllaceae,Silene regia,Accepted,Silene regia
Silene spaldingii,Herbaceous perennial,Silene_spaldingii,Plantae,Magnoliophyta,Magnoliopsida,Caryophyllales,Caryophyllaceae,Silene spaldingii,Accepted,Silene spaldingii
Silene tatarica,Herbaceous perennial,Silene_tatarica,Plantae,Magnoliophyta,Magnoliopsida,Caryophyllales,Caryophyllaceae,Silene tatarica,Accepted,Silene tatarica
Silene tatarica,Herbaceous perennial,Silene_tatarica_2,Plantae,Magnoliophyta,Magnoliopsida,Caryophyllales,Caryophyllaceae,Silene tatarica,Accepted,Silene tatarica
Sinapis arvensis,Herbaceous perennial,Sinapis_arvensis,Plantae,Magnoliophyta,Magnoliopsida,Brassicales,Brassicaceae,Sinapis arvensis,Accepted,Sinapis arvensis
Solidago altissima,Herbaceous perennial,Solidago_altissima,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Compositae,Solidago altissima,Accepted,Solidago altissima
Solidago altissima,Herbaceous perennial,Solidago_altissima_2,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Compositae,Solidago altissima,Accepted,Solidago altissima
Solidago mollis,Herbaceous perennial,Solidago_mollis,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Compositae,Solidago mollis,Accepted,Solidago mollis
Sonchus pustulatus,Herbaceous perennial,Sonchus_pustulatus,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Sonchus pustulatus,Accepted,Sonchus pustulatus
Spartina alterniflora,Herbaceous perennial,Spartina_alterniflora,Plantae,Magnoliophyta,Liliopsida,Poales,Poaceae,Spartina alterniflora,Accepted,Spartina alterniflora
Sphaeralcea coccinea,Herbaceous perennial,Sphaeralcea_coccinea,Plantae,Magnoliophyta,Magnoliopsida,Malvales,Malvaceae,Sphaeralcea coccinea,Accepted,Sphaeralcea coccinea
Spiranthes spiralis,Herbaceous perennial,Spiranthes_spiralis,Plantae,Magnoliophyta,Liliopsida,Asparagales,Orchidaceae,Spiranthes spiralis,Accepted,Spiranthes spiralis
Sporobolus heterolepis,Herbaceous perennial,Sporobolus_heterolepis,Plantae,Magnoliophyta,Liliopsida,Poales,Poaceae,Sporobolus heterolepis,Accepted,Sporobolus heterolepis
Succisa pratensis,Herbaceous perennial,Succisa_pratensis,Plantae,Magnoliophyta,Magnoliopsida,Dipsacales,Caprifoliaceae,Succisa pratensis,Accepted,Succisa pratensis
Succisa pratensis,Herbaceous perennial,Succisa_pratensis_2,Plantae,Magnoliophyta,Magnoliopsida,Dipsacales,Caprifoliaceae,Succisa pratensis,Accepted,Succisa pratensis
Succisa pratensis,Herbaceous perennial,Succisa_pratensis_3,Plantae,Magnoliophyta,Magnoliopsida,Dipsacales,Caprifoliaceae,Succisa pratensis,Accepted,Succisa pratensis
Swallenia alexandrae,Herbaceous perennial,Swallenia_alexandrae,Plantae,Magnoliophyta,Liliopsida,Poales,Poaceae,Swallenia alexandrae,Accepted,Swallenia alexandrae
Syngonanthus nitens,Herbaceous perennial,Syngonanthus_nitens,Plantae,Magnoliophyta,Liliopsida,Poales,Eriocaulaceae,Syngonanthus nitens,Accepted,Syngonanthus nitens
Taraxacum erythrospermum,Herbaceous perennial,Taraxacum_erythrospermum,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Compositae,Taraxacum erythrospermum,Accepted,Taraxacum erythrospermum
Taraxacum campylodes,Herbaceous perennial,Taraxacum_officinale,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Compositae,Taraxacum campylodes,Accepted,Taraxacum campylodes
Taraxacum campylodes,Herbaceous perennial,Taraxacum_officinale_2,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Compositae,Taraxacum campylodes,Accepted,Taraxacum campylodes
Taraxacum serotinum,Herbaceous perennial,Taraxacum_serotinum,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Compositae,Taraxacum serotinum,Accepted,Taraxacum serotinum
Thelesperma megapotamicum,Herbaceous perennial,Thelesperma_megapotamicum,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Compositae,Thelesperma megapotamicum,Accepted,Thelesperma megapotamicum
Thelesperma megapotamicum,Herbaceous perennial,Thelesperma_megapotamicum_2,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Compositae,Thelesperma megapotamicum,Accepted,Thelesperma megapotamicum
Themeda triandra,Herbaceous perennial,Themeda_triandra,Plantae,Magnoliophyta,Liliopsida,Poales,Poaceae,Themeda triandra,Accepted,Themeda triandra
Themeda triandra,Herbaceous perennial,Themeda_triandra_2,Plantae,Magnoliophyta,Liliopsida,Poales,Poaceae,Themeda triandra,Accepted,Themeda triandra
Themeda triandra,Herbaceous perennial,Themeda_triandra_3,Plantae,Magnoliophyta,Liliopsida,Poales,Poaceae,Themeda triandra,Accepted,Themeda triandra
Thymus loscosii,Herbaceous perennial,Thymus_loscosii,Plantae,Magnoliophyta,Magnoliopsida,Lamiales,Lamiaceae,Thymus loscosii,Accepted,Thymus loscosii
Thymus vulgaris,Herbaceous perennial,Thymus_webbianus,Plantae,Magnoliophyta,Magnoliopsida,Lamiales,Lamiaceae,Thymus vulgaris,Accepted,Thymus vulgaris
Tradescantia cerinthoides,Herbaceous perennial,Tradescantia_blossfeldiana,Plantae,Magnoliophyta,Liliopsida,Commelinales,Commelinaceae,Tradescantia cerinthoides,Accepted,Tradescantia cerinthoides
Tradescantia brevifolia,Herbaceous perennial,Tradescantia_brevifolia,Plantae,Magnoliophyta,Liliopsida,Commelinales,Commelinaceae,Tradescantia brevifolia,Accepted,Tradescantia brevifolia
Tradescantia fluminensis,Herbaceous perennial,Tradescantia_fluminensis,Plantae,Magnoliophyta,Liliopsida,Commelinales,Commelinaceae,Tradescantia fluminensis,Accepted,Tradescantia fluminensis
Tradescantia zebrina,Herbaceous perennial,Tradescantia_zebrina,Plantae,Magnoliophyta,Liliopsida,Commelinales,Commelinaceae,Tradescantia zebrina,Accepted,Tradescantia zebrina
Tragopogon dubius,Herbaceous perennial,Tragopogon_dubius,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Compositae,Tragopogon dubius,Accepted,Tragopogon dubius
Tragopogon pratensis,Herbaceous perennial,Tragopogon_pratensis,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Compositae,Tragopogon pratensis,Accepted,Tragopogon pratensis
Tragopogon pratensis,Herbaceous perennial,Tragopogon_pratensis_subsp._orientalis,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Tragopogon pratensis subsp. Orientalis,Accepted,Tragopogon pratensis
Tragopogon pratensis,Herbaceous perennial,Tragopogon_pratensis_subsp._pratensis,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Tragopogon pratensis subsp. Pratensis,Accepted,Tragopogon pratensis
Trifolium dasyphyllum,Herbaceous perennial,Trifolium_dasyphyllum,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Leguminosae,Trifolium dasyphyllum,Accepted,Trifolium dasyphyllum
Trifolium montanum,Herbaceous perennial,Trifolium_montanum,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Leguminosae,Trifolium montanum,Accepted,Trifolium montanum
Trifolium parryi,Herbaceous perennial,Trifolium_parryi,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Leguminosae,Trifolium parryi,Accepted,Trifolium parryi
Trifolium pratense,Herbaceous perennial,Trifolium_pratense,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Leguminosae,Trifolium pratense,Accepted,Trifolium pratense
Trillium apetalon,Herbaceous perennial,Trillium_apetalon,Plantae,Magnoliophyta,Liliopsida,Liliales,Melanthiaceae,Trillium apetalon,Accepted,Trillium apetalon
Trillium camschatcense,Herbaceous perennial,Trillium_camschatcense,Plantae,Magnoliophyta,Liliopsida,Liliales,Melanthiaceae,Trillium camschatcense,Accepted,Trillium camschatcense
Trillium erectum,Herbaceous perennial,Trillium_erectum,Plantae,Tracheophyta,Liliopsida,Liliales,Melanthiaceae,Trillium erectum,Accepted,Trillium erectum
Trillium grandiflorum,Herbaceous perennial,Trillium_grandiflorum,Plantae,Magnoliophyta,Liliopsida,Liliales,Melanthiaceae,Trillium grandiflorum,Accepted,Trillium grandiflorum
Trillium grandiflorum,Herbaceous perennial,Trillium_grandiflorum_2,Plantae,Magnoliophyta,Liliopsida,Liliales,Melanthiaceae,Trillium grandiflorum,Accepted,Trillium grandiflorum
Trillium grandiflorum,Herbaceous perennial,Trillium_grandiflorum_3,Plantae,Magnoliophyta,Liliopsida,Liliales,Melanthiaceae,Trillium grandiflorum,Accepted,Trillium grandiflorum
Trillium ovatum,Herbaceous perennial,Trillium_ovatum,Plantae,Tracheophyta,Liliopsida,Liliales,Melanthiaceae,Trillium ovatum,Accepted,Trillium ovatum
Trillium persistens,Herbaceous perennial,Trillium_persistens,Plantae,Magnoliophyta,Liliopsida,Liliales,Melanthiaceae,Trillium persistens,Accepted,Trillium persistens
Trollius europaeus,Herbaceous perennial,Trollius_europaeus,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Trollius europaeus,Accepted,Trollius europaeus
Trollius laxus,Herbaceous perennial,Trollius_laxus,Plantae,Magnoliophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Trollius laxus,Accepted,Trollius laxus
Trollius laxus,Herbaceous perennial,Trollius_laxus_2,Plantae,Magnoliophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Trollius laxus,Accepted,Trollius laxus
Verbascum fontqueri,Herbaceous perennial,Verbascum_fontqueri,Plantae,Magnoliophyta,Magnoliopsida,Malpighiales,Scrophulariaceae,Verbascum fontqueri,Unresolved,Verbascum fontqueri
Viola biflora,Herbaceous perennial,Viola_biflora,Plantae,Magnoliophyta,Magnoliopsida,Malpighiales,Violaceae,Viola biflora,Accepted,Viola biflora
Viola elatior,Herbaceous perennial,Viola_elatior,Plantae,Magnoliophyta,Magnoliopsida,Malpighiales,Violaceae,Viola elatior,Accepted,Viola elatior
Viola sagittata,Herbaceous perennial,Viola_fimbriatula,Plantae,Magnoliophyta,Magnoliopsida,Malpighiales,Violaceae,Viola sagittata ovata,Accepted,Viola sagittata
Viola pumila,Herbaceous perennial,Viola_pumila,Plantae,Magnoliophyta,Magnoliopsida,Malpighiales,Violaceae,Viola pumila,Accepted,Viola pumila
Viola persicifolia,Herbaceous perennial,Viola_stagnina,Plantae,Magnoliophyta,Magnoliopsida,Malpighiales,Violaceae,Viola persicifolia,Accepted,Viola persicifolia
Zea diploperennis,Herbaceous perennial,Zea_diploperennis,Plantae,Magnoliophyta,Liliopsida,Poales,Poaceae,Zea diploperennis,Accepted,Zea diploperennis
Alyxia stellata,Liana,Alyxia_stellata,Plantae,Magnoliophyta,Magnoliopsida,Gentianales,Apocynaceae,Alyxia stellata,Accepted,Alyxia stellata
Desmoncus orthacanthos,Liana,Desmoncus_orthacanthos,Plantae,Magnoliophyta,Liliopsida,Arecales,Arecaceae,Desmoncus orthacanthos,Accepted,Desmoncus orthacanthos
Machaerium cuspidatum,Liana,Machaerium_cuspidatum,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Leguminosae,Machaerium cuspidatum,Accepted,Machaerium cuspidatum
Mansoa difficilis,Liana,Mansoa_difficilis,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Bignoniaceae,Mansoa difficilis,Accepted,Mansoa difficilis
Erioderma pedicellatum,Lichen,Erioderma_pedicellatum,Fungi,NA,Lecanoromycetes,Lecanorales,Pannariaceae,Erioderma pedicellatum,,Erioderma pedicellatum
Astrocaryum aculeatissimum,Palm,Astrocaryum_aculeatissimum,Plantae,Magnoliophyta,Liliopsida,Arecales,Arecaceae,Astrocaryum aculeatissimum,Accepted,Astrocaryum aculeatissimum
Astrocaryum chambira,Palm,Astrocaryum_chambira,Plantae,Magnoliophyta,Liliopsida,Arecales,Arecaceae,Astrocaryum chambira,Accepted,Astrocaryum chambira
Astrocaryum mexicanum,Palm,Astrocaryum_mexicanum,Plantae,Magnoliophyta,Liliopsida,Arecales,Arecaceae,Astrocaryum mexicanum,Accepted,Astrocaryum mexicanum
Astrocaryum standleyanum,Palm,Astrocaryum_standleyanum,Plantae,Magnoliophyta,Liliopsida,Arecales,Arecaceae,Astrocaryum standleyanum,Accepted,Astrocaryum standleyanum
Attalea humilis,Palm,Attalea_humilis,Plantae,Magnoliophyta,Liliopsida,Arecales,Arecaceae,Attalea humilis,Accepted,Attalea humilis
Borassus aethiopum,Palm,Borassus_aethiopum,Plantae,Magnoliophyta,Liliopsida,Arecales,Arecaceae,Borassus aethiopum,Accepted,Borassus aethiopum
Calamus nambariensis,Palm,Calamus_platyacanthus,Plantae,Magnoliophyta,Liliopsida,Arecales,Arecaceae,Calamus nambariensis,Accepted,Calamus nambariensis
Calamus rhabdocladus,Palm,Calamus_rhabdocladus,Plantae,Magnoliophyta,Liliopsida,Arecales,Arecaceae,Calamus rhabdocladus,Accepted,Calamus rhabdocladus
Ceratozamia matudae,Palm,Ceratozamia_matudae,Plantae,Cycadopsida,Cycadophyta,Cycadales,Zamiaceae,Ceratozamia matudae,Accepted,Ceratozamia matudae
Ceratozamia mirandae,Palm,Ceratozamia_mirandae,Plantae,Cycadopsida,Cycadophyta,Cycadales,Zamiaceae,Ceratozamia mirandae,Accepted,Ceratozamia mirandae
Ceratozamia norstogii,Palm,Ceratozamia_norstogii,Plantae,Cycadopsida,Cycadophyta,Cycadales,Zamiaceae,Ceratozamia norstogii,Accepted,Ceratozamia norstogii
Chamaedorea elegans,Palm,Chamaedorea_elegans,Plantae,Magnoliophyta,Liliopsida,Arecales,Arecaceae,Chamaedorea elegans,Accepted,Chamaedorea elegans
Chamaedorea ernesti-augusti,Palm,Chamaedorea_ernesti-augustii,Plantae,Magnoliophyta,Liliopsida,Arecales,Arecaceae,Chamaedorea ernesti-augusti,Accepted,Chamaedorea ernesti-augusti
Chamaedorea radicalis,Palm,Chamaedorea_radicalis,Plantae,Magnoliophyta,Liliopsida,Arecales,Arecaceae,Chamaedorea radicalis,Accepted,Chamaedorea radicalis
Chamaedorea radicalis,Palm,Chamaedorea_radicalis_2,Plantae,Magnoliophyta,Liliopsida,Arecales,Arecaceae,Chamaedorea radicalis,Accepted,Chamaedorea radicalis
Chamaedorea radicalis,Palm,Chamaedorea_radicalis_3,Plantae,Magnoliophyta,Liliopsida,Arecales,Arecaceae,Chamaedorea radicalis,Accepted,Chamaedorea radicalis
Coccothrinax readii,Palm,Coccothrinax_readii,Plantae,Magnoliophyta,Liliopsida,Arecales,Arecaceae,Coccothrinax readii,Accepted,Coccothrinax readii
